temp,hum,pm003,pm01,pm02,pm10,tvoc
23.7,40.21,-1,-1,-1,-1,0
23.44,40.83,1654,9,14,14,44
23.03,37.01,1072,5,7,7,103
23.06,37.25,1032,5,7,7,106
23.74,40.35,-1,-1,-1,-1,0
23.77,40.38,1589,9,14,15,18
23.46,41.23,1494,8,12,12,94
23.03,37.37,-1,-1,-1,-1,0
23.8,40.34,1643,8,12,12,93
23.03,37.35,1107,5,7,7,20
23.83,40.36,1620,8,12,12,103
23.49,40.69,1374,6,9,9,98
23.02,37.37,1028,4,6,6,93
23.85,40.36,1731,8,13,13,103
23.53,40.71,1514,9,12,13,51
23.85,40.34,-1,-1,-1,-1,0
23.91,40.39,1509,9,13,13,27
23.91,40.23,1552,8,11,11,89
23.51,40.63,-1,-1,-1,-1,0
22.92,37.42,-1,-1,-1,-1,0
23.94,40.21,-1,-1,-1,-1,0
22.93,37.46,1046,4,6,6,20
23.94,40.13,1357,7,11,11,2
23.44,40.58,1553,8,11,11,56
22.83,37.74,1092,5,8,8,111
23.4,40.65,1863,10,14,14,97
22.82,37.96,1112,6,8,8,0
24.01,40.18,-1,-1,-1,-1,0
24.01,40.19,1441,7,11,11,7
23.34,41.27,-1,-1,-1,-1,0
24.04,40.23,1627,8,13,13,101
22.73,38.3,1000,4,9,9,105
23.25,41.35,1622,7,13,15,91
24.05,40.15,1681,8,13,13,104
22.7,38.66,1147,5,7,7,104
23.18,41.63,-1,-1,-1,-1,0
24.07,40.21,1540,8,12,14,103
22.72,38.8,1216,6,8,8,103
24.05,40.39,1516,9,13,13,3
23.11,41.96,-1,-1,-1,-1,0
22.69,39.13,932,4,6,6,97
23.1,42.02,1610,9,14,14,1
24.05,40.47,1512,7,12,13,97
22.68,39.23,1184,5,8,9,106
23.04,42.49,1691,9,13,13,78
24.02,40.35,1401,7,11,12,98
22.66,39.46,1196,5,11,12,103
23.01,42.51,-1,-1,-1,-1,0
24.04,40.59,1679,9,13,13,105
23.01,42.5,1763,10,17,17,0
22.63,39.61,1070,5,7,7,104
24.02,40.45,-1,-1,-1,-1,0
22.97,42.56,1722,9,14,14,100
24.01,40.45,1370,8,12,12,6
22.61,39.57,-1,-1,-1,-1,0
22.59,39.78,1251,6,10,11,30
22.95,42.66,1700,9,14,15,107
24.01,40.57,1574,7,12,12,94
22.58,39.91,1175,5,7,7,90
22.95,42.71,1861,9,16,16,109
24.01,40.72,-1,-1,-1,-1,0
22.54,39.98,1211,5,7,7,101
24,40.76,1546,8,13,13,8
22.91,42.76,1884,9,16,17,106
22.52,40.12,-1,-1,-1,-1,0
24.01,40.73,1583,8,12,12,96
22.49,40.23,1347,7,10,10,0
22.9,42.89,2026,11,17,17,98
22.89,43.17,-1,-1,-1,-1,0
24.01,40.66,1698,8,15,16,106
22.49,40.3,1371,8,9,9,94
22.87,43.04,1781,10,15,16,6
